MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
U.S.S. Kidd,"Historical Marker erected 1986 by United States Department of the Interior

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.191484937183 30.443990482994)
Ceremonial Indian Mound,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87446"">this link</a>",,POINT (-91.184904936013 30.458291486447)
Fred Miller,"Historical Marker erected by Drs. Charles and Brooke Wood

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104388"">this l*",,POINT (-91.185234933876 30.412093476254)
Massachusetts Memorial,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99056"">this link</a>",,POINT (-91.168743931298 30.449417485464)
Germain Bergeron House,"Historical Marker erected 2005

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92483"">this link</a>",,POINT (-91.114358914601 30.410041478215)
Original Site of the First Presbyterian Church,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85342"">this link</a>",,POINT (-91.186895935462 30.449270484215)
USCGC White Alder,"Historical Marker erected by U.S. Coast Guard

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=86508"">this link</a>",,POINT (-91.190387936022 30.443876483199)
Upland Hardwoods,"Historical Marker erected by BREC Bluebonnet Swamp Conservation Area

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=115*",,POINT (-91.104950279896 30.370058720167)
Gras-Devall Plaza,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87869"">this link</a>",,POINT (-91.187245936373 30.451384484974)
2000 National Champions,"Historical Marker erected by Tiger Athletic Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97871"">this link<*",,POINT (-91.188269934701 30.40546647495)
Commissary,"Historical Marker No. 27 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112783"">this l*",,POINT (-91.115682824663 30.410989558387)
Bradie James,"Historical Marker erected by The Yeargain Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=100377"">this link</a>",,POINT (-91.184804933664 30.411193476567)
Romeville Post Office,"Historical Marker No. 30 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112059"">this l*",,POINT (-91.115641254561 30.411030448405)
1986 SEC Champions,"Historical Marker erected by The Acadiana Tigers

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99231"">this link</a>",,POINT (-91.18546793393 30.411400476848)
William Bartram Trail,"Historical Marker erected by Beauregard Town Civic Association and the Downtown Development District, The Bartram Trail Conference

<br/><br/>Source: HMdb.org. For text, photographs and other inform*",,POINT (-91.190599626706 30.439532672696)
1970 SEC Champions,"Historical Marker erected by Archie, Pamela, Katelyn, & Evan Thompson

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99*",,POINT (-91.185519933329 30.411508476175)
Riverfront Plaza,"Historical Marker erected 1984

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85944"">this link</a>",,POINT (-91.190655936666 30.445055483305)
Remi Prudhomme,"Historical Marker erected by The Capital Area Tigers

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104391"">this link</*",,POINT (-91.185244933866 30.412086476427)
Slim Harpo,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96603"">this link</a>",,POINT (-91.189458936869 30.447245483488)
Uncle Jack,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88234"">this link</a>",,POINT (-91.114259914123 30.411082789058)
Billy Truax,"Historical Marker erected by The Carter Askew Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104390"">this link</*",,POINT (-91.185228933861 30.412088476475)
Old Arsenal Museum,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98054"">this link</a>",,POINT (-91.187305935698 30.453369484981)
1935 SEC Champions,"Historical Marker erected by Drs. Ronald Lahasky & Vincent Pisciotta

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=987*",,POINT (-91.185315933225 30.411571476203)
Pi0o House,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87282"">this link</a>",,POINT (-91.183141935143 30.452710485646)
Delta Zeta Sorority,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=95025"">this link</a>",,POINT (-91.168114929012 30.409532476188)
Drake Nevis,"Historical Marker erected by Area Wholesale Tire & Associates

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107612"">th*",,POINT (-91.184799344009 30.411179286752)
Stephen Peterman,"Historical Marker erected by Lester, Kelly, Mary-Kate, Matthew Lee

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=10624*",,POINT (-91.184812753279 30.411198916826)
Louisiana State Seminary of Learning Foundation Stone,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91016"">this link</a>",,POINT (-91.178411932421 30.414555477183)
Pigeonnier,"Historical Marker erected by Mrs. Patricia Curry Bagwell in honor of the Curry Family. This marker has been reported missing. Source: HMdb.org. For text, photographs and other information",,POINT (-91.115689534869 30.41071966882)
Scott's Bluff,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85027"">this link</a>",,POINT (-91.197293941531 30.521365499368)
Site of the Shiloh Baptist Church,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87371"">this link</a>",,POINT (-91.183643934981 30.454803485641)
Civil War Battle of Baton Rouge,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=43075"">this link</a>",,POINT (-91.171108931458 30.450972484976)
Zachary Taylor Home Site,"Historical Marker No. 1

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87824"">this link</a>",,POINT (-91.189608937209 30.45362848536)
18th Century Style Sugar House,"Historical Marker No. 12 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112083"">this l*",,POINT (-91.114742714225 30.410660788862)
Highland Cemetery,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=86928"">this link</a>",,POINT (-91.172419929388 30.4047304754)
Arsenal Museum,"Historical Marker erected 1968 by Louisiana Tourist Development commission

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.185962935771 30.456834486369)
Pinckney Benton Stewart Pinchback,"Historical Marker erected by The Southern University Class of 1947

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85026*",,POINT (-91.19682194173 30.520686499018)
Michael Brooks,"Historical Marker erected by Ark La Tex Tigers

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105998"">this link</a>",,POINT (-91.185217773321 30.412049456779)
Chad Kessler,"Historical Marker erected by Rene, Holly, and Beau Dupaquier

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106120"">thi*",,POINT (-91.18522447409 30.412029826729)
Craig Steltz,"Historical Marker erected by Nicole Appleton Marshall Class 2007

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107550""*",,POINT (-91.184796663615 30.411180926443)
Mestrovic Court,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91045"">this link</a>",,POINT (-91.18782693562 30.445437483494)
William Bartram Trail,"Historical Marker erected by Recreation and Park Commission for the Parish of East Baton Rouge, The Bartram Trail Conference

<br/><br/>Source: HMdb.org. For text, photographs and other information,*",,POINT (-91.001340221552 30.349277629489)
"Site of Spanish Battery, 1779","Historical Marker erected by City Of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87923"">this link</a>",,POINT (-91.189389266387 30.44733881436)
St. Joseph Catholic Cemetery,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85156"">this link</a>",,POINT (-91.173189262121 30.452105485647)
Distinguished Cadets,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104461"">this link</a>",,POINT (-91.181922932471 30.40998747612)
Lafayette Building,"Historical Marker erected by City Of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88281"">this link</a>",,POINT (-91.189415936084 30.450089484357)
2007 SEC Champions,"Historical Marker erected by Kyle and Kelli Taquino

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99356"">this link</a>",,POINT (-91.185648933824 30.411324476155)
First Air Mail Flight,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87473"">this link</a>",,POINT (-91.18934493667 30.45630448591)
Johnny Rivers,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96568"">this link</a>",,POINT (-91.190235936138 30.445326483329)
Magnolia Cemetery,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87227"">this link</a>",,POINT (-91.169249930996 30.450875485242)
Highland Cemetery,"Historical Marker erected 2004 by Isaac Monet Chapter - Louisiana Society National Society of Dames XVII Century

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href*",,POINT (-91.172156930029 30.404974475282)
Hilton Capitol Center,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104254"">this link</a>",,POINT (-91.188293935929 30.450006484385)
The D'Artaguiette Concession,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88775"">this link</a>",,POINT (-91.190837936762 30.445276483361)
William Bartram Trail,"Historical Marker erected by Friends of Magnolia Mound Plantation. The Recreation and Parks Commission of Baton Rouge and The Bartram Trail Confrence.

<br/><br/>Source: HMdb.org. For text, photogra*",,POINT (-91.186871354907 30.426849319592)
Third Street,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98181"">this link</a>",,POINT (-91.188322935883 30.448324484173)
The Former Baptismal Fount,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=93354"">this link</a>",,POINT (-91.186828936404 30.451824484949)
Alvin Batiste,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96601"">this link</a>",,POINT (-91.187687936043 30.446910483877)
1996 National Champions,"Historical Marker erected by Tiger Athletic Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97772"">this link<*",,POINT (-91.188152933953 30.405390475348)
Sugar Kettle,"Historical Marker erected 1970 by Louisiana Tourist Commission

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85702"">th*",,POINT (-91.182275932518 30.410477475908)
Huey Long Grave,"Historical Marker No. 8. This marker has been reported missing. Source: HMdb.org. For text, photographs and other information, use https://www.hmdb.org/marker.asp?marker=87430",,POINT (-91.187638466187 30.455626496188)
Bayou Fountain,"Historical Marker erected by State of Louisiana and National Park Service.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.078422901642 30.347354486363)
1997 National Champions,"Historical Marker erected by Tiger Athletic Foundation

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97855"">this link<*",,POINT (-91.188244933933 30.405420475215)
National Cemetery,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87226"">this link</a>",,POINT (-91.169207930759 30.449317484806)
In Honor of George Washington,"Historical Marker erected 2007 by Louisiana Society of the Sons of the American Revolution

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org*",,POINT (-91.18515493609 30.457746485973)
Baton Rouge High School,"Historical Marker erected 1995 by B.R.H.S. Alumni Association

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88562"">thi*",,POINT (-91.159234928251 30.444189484341)
William Bartram Trail,"Historical Marker erected by Friends of Hilltop Arboretum and The Bartram Trail Conference

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org*",,POINT (-91.095146486926 30.356187527336)
Heroes Of The War On Terrorism,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=93327"">this link</a>",,POINT (-91.273557969075 30.660834526453)
A Bench By The Road,"Historical Marker erected 2016 by The Bench By The Road Project

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=117112"">*",,POINT (-91.178800793457 30.434008701419)
1988 SEC Champions,"Historical Marker erected by Michael T. Johnson in memory of Mr. G.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=9932*",,POINT (-91.185610934151 30.41147947652)
Farquhar Steam Engine Boiler,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112044"">this link</a>",,POINT (-91.115594315278 30.411004279076)
Former Governor's Mansion,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88299"">this link</a>",,POINT (-91.185311935374 30.446954484357)
Southern University,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85680"">this link</a>",,POINT (-91.197149942329 30.520980499541)
Eric Reid,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107781"">this link</a>",,POINT (-91.184788613552 30.411174386279)
"Dedicated To You, A Free Citizen In A Free Land","Historical Marker erected 1955 by Revere Copper and Brass Incorporated

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=1*",,POINT (-91.185120935533 30.457446485816)
Mike Williams,"Historical Marker erected by The Bernard Abercrombie Family 1977

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105127""*",,POINT (-91.185241913389 30.412069086197)
1961 SEC Champions,"Historical Marker erected by Ann Flowers Doggett

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99196"">this link</a>",,POINT (-91.185376933834 30.41144647626)
Pentagon Buildings,"Historical Marker erected 1968 by Louisiana Tourist Development Commission

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.188926937136 30.455515486057)
Louisiana State Capitol,"Historical Marker erected 1983 by National Park Service & U.S. Department of Interior

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/mark*",,POINT (-91.187346935912 30.456959485671)
Albert Richardson,"Historical Marker erected by Brad and Paula Moreau

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105879"">this link</a>",,POINT (-91.185225814079 30.412060906971)
Flag of West Florida,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91066"">this link</a>",,POINT (-91.188602936022 30.445580483781)
Warren Capone,"Historical Marker erected by Stephen Schuetz, Class of 1982.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105106"">thi*",,POINT (-91.185232524028 30.412070716577)
Tyrone Slave Cabin,"Historical Marker No. 45 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112054"">this l*",,POINT (-91.11471857477 30.410556098459)
Repentance Fountain,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=89001"">this link</a>",,POINT (-91.188613936332 30.446056483469)
Civil War Cannons,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104456"">this link</a>",,POINT (-91.18183093272 30.410014476683)
Glenn Dorsey,"Historical Marker erected by Miles & Martha Williams and Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106828"">*",,POINT (-91.184806053898 30.411184196239)
University Lakes & Bird Sanctuary,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=120272"">this link</a>",,POINT (-91.171912439752 30.407715216259)
Congregation B'Nai Israel,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98268"">this link</a>",,POINT (-91.185850935489 30.450294484717)
The Hill Memorial Library Columns,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92560"">this link</a>",,POINT (-91.115984914884 30.412010478778)
2011 SEC Champions,"Historical Marker erected by CES and Laura Guerra, Houston, TX

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99358"">th*",,POINT (-91.185817933723 30.41141347633)
2001 SEC Champions,"Historical Marker erected by Theresa Gallion

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99355"">this link</a>",,POINT (-91.185553933692 30.411364476844)
Patrick Peterson,"Historical Marker erected by Steven Neal Carter & Trevor Cox

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107589"">thi*",,POINT (-91.184806053584 30.411180926168)
George Bevan,"Historical Marker erected by Gary and Benda Luquette

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104914"">this link</*",,POINT (-91.185229843558 30.412082166486)
George Rice,"Historical Marker erected by Steve and Nancy Walker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104420"">this link</a>",,POINT (-91.185232933808 30.412083476171)
Zachary Taylor,"Historical Marker erected 1951 by Louisiana Camp Woodmen of the World

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87*",,POINT (-91.188340936021 30.454740485797)
Benjamin Parker Thomas,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92751"">this link</a>",,POINT (-91.172248930176 30.404710475287)
Ben McDonald,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97773"">this link</a>",,POINT (-91.188183934298 30.405424474874)
Parish of St. Alphonsus Liguori,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85313"">this link</a>",,POINT (-91.031066896215 30.508905502443)
Sam Montgomery,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107730"">this link</a>",,POINT (-91.18479666346 30.411162936095)
Yellow Fever Memorial,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105921"">this link</a>",,POINT (-91.168083821035 30.450039825504)
Ali Highsmith,"Historical Marker erected by Judy and Lalith Wijayasuriya, M.D.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107492"">*",,POINT (-91.184802024033 30.411179286155)
Schoolhouse,"Historical Marker No. 24 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=113545"">this l*",,POINT (-91.11536766485 30.41064278841)
Beauregard Town,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98527"">this link</a>",,POINT (-91.184712935429 30.446900484371)
Stoner/Athens Cabin,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88566"">this link</a>",,POINT (-91.11463191416 30.411638478494)
"The Founding of ""Red Stick""","Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96683"">this link</a>",,POINT (-91.190288936616 30.445352483572)
Wendell Davis,"Historical Marker erected by Chuck and Jessica Penn

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105999"">this link</a>",,POINT (-91.185223133474 30.412039646261)
Caroline Durieux,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=117115"">this link</a>",,POINT (-91.189427746852 30.447288494062)
Jerry Stovall,"Historical Marker erected by Four Generations of the Topham Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=10438*",,POINT (-91.185234933876 30.412093476254)
Double-Pen Slave Cabin,"Historical Marker No. 11

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112056"">this link</a>",,POINT (-91.115128944458 30.410467778976)
Todd McClure,"Historical Marker erected by Ashley and Clifton Dugas and Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106122""*",,POINT (-91.18522179339 30.412023286293)
"Ken Kavanaugh, Sr.","Historical Marker erected by The Andrew Lee Guinn Sr. Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99939"">this*",,POINT (-91.185235933678 30.412117476527)
Beauregard Town,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85064"">this link</a>",,POINT (-91.183922604426 30.443522153415)
College Grove Baptist Church,"Historical Marker No. 13 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112100"">this l*",,POINT (-91.114308194356 30.410927398472)
2007 National Champions,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98525"">this link</a>",,POINT (-91.185106933847 30.411625476491)
Oliver Pollock,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=86603"">this link</a>",,POINT (-91.18823493617 30.446661483416)
Louisiana State University and Agricultural and Mechanical College,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91003"">this link</a>",,POINT (-91.178394932014 30.414420476991)
Smokehouse,"Historical Marker No. 15 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112096"">this l*",,POINT (-91.115574194451 30.410359818552)
Charles Alexander,"Historical Marker erected by Gary & Dakin Dubroc

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105128"">this link</a>",,POINT (-91.185217773769 30.412085446488)
Fort San Carlos,"Historical Marker No. 2

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87540"">this link</a>",,POINT (-91.189520937257 30.454692485488)
Skyler Green,"Historical Marker erected by Burney & Ashley Williams

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106309"">this link<*",,POINT (-91.184815443455 30.411190736103)
A-7E Corsair II,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96567"">this link</a>",,POINT (-91.190228936347 30.443966483157)
2009 National Champions,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98049"">this link</a>",,POINT (-91.188238933951 30.405527475419)
1991 National Champions,"Historical Marker erected 1992 by LSU Baseball Coaches Committee

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97632"">*",,POINT (-91.188091933802 30.405494475223)
2003 SEC Champions,"Historical Marker erected by Tammany Tigers

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99360"">this link</a>",,POINT (-91.185712934124 30.411452476384)
The State Capitol,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96604"">this link</a>",,POINT (-91.188526937005 30.456624485927)
Jim Taylor,"Historical Marker erected by Pro Football Hall of Fame Class of 1976

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=959*",,POINT (-91.183455933496 30.413288806535)
