CEMETERY NAME,ADDRESS ID,OWNERSHIP,SHAPE AREA,SHAPE LENGTH,GEOMETRY
LABORING SOCIETY CEMETERY,117642,PRIVATE,7049,344,"MULTIPOLYGON (((-91.127464949866 30.371030717521, -91.127186587354 30.371518029154, -91.126309198293 30.371087544422, -91.126777370679 30.370689222419, -91.127230291806 30.370913697331, -91.127464949866 30.371030717521)))"
AZALEA REST CEMETERY,192195,PUBLIC,21253,585,"MULTIPOLYGON (((-91.19271014212 30.658951749312, -91.192825663214 30.658425622947, -91.192968111864 30.657847039183, -91.193950402934 30.658158809246, -91.19425473093 30.658255398586, -91.193966596804 30.659301986698, -91.19271014212 30.658951749312)))"
LUTHERAN BENEVOLENT SOCIETY CEMETERY,41553,PRIVATE,28767,768,"MULTIPOLYGON (((-91.170798475532 30.432990106261, -91.170798245468 30.432990113484, -91.170569244848 30.43283123949, -91.170435030192 30.432780072101, -91.170349292991 30.432771454793, -91.170341492346 30.432584872493, -91.170324625578 30.432181806817, -91.172621890507 30.432126362972, -91.17286846077 30.43250551784, -91.173135855327 30.432916698919, -91.170798475532 30.432990106261)))"
OAK GROVE CEMETERY,175075,PRIVATE,16908,655,"MULTIPOLYGON (((-91.124729080882 30.687659897014, -91.124716530759 30.687632900901, -91.12467433295 30.687558707223, -91.124626455292 30.687486748038, -91.124596541826 30.687446445342, -91.123534956295 30.686148270642, -91.123508739755 30.686114156763, -91.123412783891 30.685980797294, -91.123374951136 30.685923636641, -91.123356888546 30.685892224482, -91.123341075698 30.685860491463, -91.12470925873 30.68594154879, -91.124729080882 30.687659897014)))"
CEMETERY,23985,PRIVATE,12742,488,"MULTIPOLYGON (((-91.034392599977 30.392725673423, -91.033916197102 30.393202005781, -91.03317832552 30.392822759116, -91.033323777741 30.392028788646, -91.034225717536 30.392162821061, -91.033969188816 30.392457482846, -91.034392599977 30.392725673423)))"
MOUNT OLIVE BAPTIST CHURCH,122260,PRIVATE,3024,224,"MULTIPOLYGON (((-91.089047783316 30.483703462991, -91.088650372727 30.483810613457, -91.088515016679 30.483298135454, -91.088835685048 30.483228969069, -91.08890560142 30.483217276414, -91.089047783316 30.483703462991)))"
FAIR DEAL CEMETERY,130225,PRIVATE,10387,445,"MULTIPOLYGON (((-91.136364303764 30.706762434578, -91.136376967698 30.707315477345, -91.135812555136 30.707313156948, -91.135786185585 30.707011340681, -91.135769737799 30.706857209434, -91.13575753827 30.706763406992, -91.135749682057 30.706703009567, -91.135722759309 30.706561957627, -91.135691387569 30.706415004534, -91.135633153719 30.706215622732, -91.135624398273 30.706185645651, -91.136351299153 30.706134229403, -91.136364303764 30.706762434578)))"
JEWISH CEMETERY,130291,PUBLIC,14388,480,"MULTIPOLYGON (((-91.175638130301 30.453898024707, -91.17456975634 30.453925121769, -91.174533811575 30.45299241241, -91.175601928574 30.45295893917, -91.175638130301 30.453898024707)))"
KLEINPETER CEMETERY,139978,PRIVATE,10557,413,"MULTIPOLYGON (((-91.083054239695 30.381620705524, -91.083056848578 30.381620608697, -91.083059457128 30.381620505346, -91.083062065324 30.381620395473, -91.083064673143 30.381620279078, -91.083067280564 30.381620156163, -91.083069887566 30.381620026728, -91.083072494126 30.381619890775, -91.083075100222 30.381619748304, -91.083077705835 30.381619599317, -91.08308031094 30.381619443815, -91.083082915518 30.3816192818, -91.083085519545 30.381619113272, -91.083088123002 30.381618938233, -91.083090725865 30.381618756685, -91.083093328113 30.381618568629, -91.083095929725 30.381618374067, -91.083098530679 30.381618172999, -91.083101130953 30.381617965429, -91.083103730526 30.381617751358, -91.083106329376 30.381617530786, -91.083108927481 30.381617303717, -91.08311152482 30.381617070153, -91.083114121371 30.381616830094, -91.083116717113 30.381616583543, -91.083119312024 30.381616330503, -91.083121906083 30.381616070975, -91.083124499267 30.381615804961, -91.083127091556 30.381615532464, -91.083129682927 30.381615253485, -91.083132273359 30.381614968028, -91.083134862832 30.381614676095, -91.083137451322 30.381614377687, -91.083140038808 30.381614072808, -91.08314262527 30.38161376146, -91.083145210685 30.381613443646, -91.083147795032 30.381613119368, -91.08315037829 30.381612788629, -91.083152960437 30.381612451431, -91.083155541451 30.381612107778, -91.083160637383 30.381639235569, -91.083916459364 30.382002752627, -91.083484550391 30.382677786017, -91.082652573074 30.382277640446, -91.083055325021 30.38164818527, -91.083054239695 30.381620705524)))"
CEMETERY,174355,PRIVATE,13387,472,"MULTIPOLYGON (((-90.999377327609 30.352438818819, -90.998886361208 30.352524991105, -90.998741279277 30.352354643462, -90.998402712394 30.351957112952, -90.999285089002 30.351444634257, -90.999742886045 30.352015171801, -90.999984628339 30.352328429703, -90.999377327609 30.352438818819)))"
