CEMETERY NAME,ADDRESS ID,OWNERSHIP,SHAPE AREA,SHAPE LENGTH,GEOMETRY
SANDY CREEK CEMETERY,170909,PRIVATE,11091,553,"MULTIPOLYGON (((-90.979759702684 30.686190737094, -90.978072644054 30.686726421968, -90.97794397307 30.686579180236, -90.977820438938 30.686428694183, -90.977702149341 30.686275093332, -90.977589205575 30.686118512684, -90.977579287136 30.686104250018, -90.97975936735 30.686093093602, -90.979759702684 30.686190737094)))"
GREENOAKS MEMORIAL PARK,127035,PUBLIC,326446,2793,"MULTIPOLYGON (((-91.081676750601 30.455382953228, -91.082756845608 30.455214123005, -91.082998055073 30.455176418955, -91.083239264354 30.455138714464, -91.083241052999 30.455623826538, -91.083242073692 30.455900654383, -91.082753748383 30.455899240737, -91.082752445071 30.456187991629, -91.082751201857 30.456462989441, -91.082749958636 30.45673798723, -91.082748715395 30.457012990497, -91.082747472174 30.457287982744, -91.08274622513 30.457564487204, -91.082742961698 30.458286469885, -91.083595933021 30.458277854855, -91.083913352129 30.458274648434, -91.084213124304 30.458271619731, -91.084223076318 30.458549038808, -91.084232939694 30.458823859387, -91.08424279995 30.459098679937, -91.084252660261 30.459373500465, -91.084262520633 30.45964831822, -91.084272381053 30.459923138702, -91.084282241528 30.460197959161, -91.084294077971 30.460527746438, -91.084303980048 30.460803743724, -91.08397250471 30.460805866027, -91.083641029358 30.4608079875, -91.083309541297 30.460810108118, -91.082818771362 30.460813243362, -91.082474536649 30.460815444977, -91.082141182255 30.460817572876, -91.081807831014 30.46081970269, -91.081474476591 30.460821828908, -91.08115700146 30.460823855333, -91.080839523141 30.460825880989, -91.080522044817 30.460827903135, -91.080204566473 30.460829927267, -91.079252131369 30.460835992343, -91.079203122272 30.460836305125, -91.079095097902 30.460454116863, -91.078903121858 30.459774901513, -91.07845272776 30.458678189114, -91.078238148885 30.458355389994, -91.078185526697 30.458301106201, -91.078513517943 30.458299197917, -91.078989583045 30.458296429829, -91.078987894169 30.458105823459, -91.078975801702 30.456740679785, -91.079356639797 30.456738147395, -91.079991395286 30.456736118391, -91.079987137696 30.456256059428, -91.080105752551 30.45615080068, -91.080216009689 30.456128075106, -91.080508646394 30.456122893766, -91.080822424812 30.456169583618, -91.080974974993 30.456250598344, -91.081182294 30.456269550341, -91.081268697553 30.456266621803, -91.081313455134 30.456234892229, -91.081321296509 30.456197774707, -91.081311723542 30.45610312299, -91.081339869088 30.45599657991, -91.081397038547 30.45587501366, -91.081517260781 30.455702096148, -91.081678316035 30.455559171155, -91.081702001938 30.455466400167, -91.081676750601 30.455382953228)))"
WINNFIELD MEMORIAL PARK,109416,PUBLIC,57554,1206,"MULTIPOLYGON (((-91.150932263025 30.516861492089, -91.149769520018 30.516919222129, -91.149351748341 30.516939961949, -91.147158621986 30.517048815538, -91.147444809921 30.51625400008, -91.149038337064 30.51617715049, -91.149314043407 30.516170124633, -91.149309574776 30.515857821169, -91.149310357463 30.515435861953, -91.149310408572 30.515408308299, -91.150894687398 30.51535672827, -91.150932263025 30.516861492089)))"
CAIN CEMETERY,155214,PRIVATE,2577,211,"MULTIPOLYGON (((-91.002082875425 30.360184448446, -91.001807299694 30.360359138841, -91.001457815424 30.359946886377, -91.001737528734 30.359758542661, -91.002082875425 30.360184448446)))"
WOODLAWN BAPTIST CHURCH CEMETERY,138047,PRIVATE,3788,292,"MULTIPOLYGON (((-91.016385858514 30.401358288002, -91.015443399918 30.401237104905, -91.015469623212 30.401092234836, -91.015424251041 30.401086558146, -91.015448113828 30.400945526471, -91.016424236506 30.401105998212, -91.016385858514 30.401358288002)))"
PORT HUDSON NATIONAL CEMETERY,52983,PUBLIC,108562,1551,"MULTIPOLYGON (((-91.276891510822 30.660173140385, -91.276894071081 30.660685590222, -91.276068138328 30.660704377435, -91.276072656122 30.660869294358, -91.276089855142 30.661497119795, -91.274758341359 30.661534850746, -91.273912855646 30.661558802523, -91.272738864389 30.661592965971, -91.272324303892 30.66160504628, -91.272062965934 30.661612660899, -91.27208315937 30.659749115799, -91.272159338875 30.659398619439, -91.272161568198 30.659400700692, -91.272163803323 30.659402777289, -91.272166044238 30.659404849217, -91.272168290929 30.659406916465, -91.272170543383 30.659408979021, -91.272172801587 30.659411036872, -91.272175065528 30.659413090007, -91.272177335193 30.659415138414, -91.272179610569 30.65941718208, -91.272181891641 30.659419220995, -91.272184178398 30.659421255145, -91.272186470825 30.659423284519, -91.27218876891 30.659425309106, -91.272191072639 30.659427328893, -91.272193381998 30.659429343869, -91.272195696975 30.659431354022, -91.272198017555 30.65943335934, -91.272200343725 30.659435359812, -91.272202675472 30.659437355426, -91.272205012782 30.659439346171, -91.272207355641 30.659441332034, -91.272209704036 30.659443313005, -91.272212057953 30.659445289071, -91.272214417378 30.659447260221, -91.272216782299 30.659449226444, -91.2722191527 30.659451187729, -91.272221528568 30.659453144063, -91.272223909889 30.659455095436, -91.27222629665 30.659457041836, -91.272228688836 30.659458983252, -91.272231086434 30.659460919672, -91.27223348943 30.659462851085, -91.272235897809 30.659464777481, -91.272238311558 30.659466698847, -91.272240730662 30.659468615173, -91.272243155108 30.659470526447, -91.272245584881 30.659472432658, -91.272248019967 30.659474333796, -91.272250460352 30.659476229849, -91.272252906023 30.659478120806, -91.272255356964 30.659480006656, -91.272257813161 30.659481887388, -91.2722602746 30.659483762991, -91.272262741267 30.659485633454, -91.272265213147 30.659487498767, -91.272267690226 30.659489358918, -91.27227017249 30.659491213897, -91.272272659923 30.659493063693, -91.272275152513 30.659494908294, -91.272277650243 30.659496747692, -91.2722801531 30.659498581873, -91.272282661069 30.659500410829, -91.272285174135 30.659502234548, -91.272287692284 30.65950405302, -91.272290215501 30.659505866234, -91.272292743771 30.659507674179, -91.272295277081 30.659509476845, -91.272297815414 30.659511274222, -91.272300358756 30.659513066299, -91.272302907092 30.659514853066, -91.272305460408 30.659516634512, -91.272308018689 30.659518410626, -91.272310581919 30.659520181399, -91.272313150085 30.659521946821, -91.27231572317 30.65952370688, -91.27231830116 30.659525461567, -91.272320884039 30.659527210872, -91.272323471794 30.659528954783, -91.272326064409 30.659530693292, -91.272328661868 30.659532426388, -91.272331264157 30.659534154061, -91.27233387126 30.659535876301, -91.272336483162 30.659537593097, -91.272339099848 30.659539304441, -91.272341721304 30.659541010321, -91.272344347512 30.659542710728, -91.272346978459 30.659544405652, -91.272349614129 30.659546095084, -91.272352254507 30.659547779012, -91.272354899576 30.659549457429, -91.272357549323 30.659551130323, -91.272360203731 30.659552797685, -91.272362862785 30.659554459505, -91.272365526469 30.659556115774, -91.272368194768 30.659557766482, -91.272370867667 30.65955941162, -91.27237354515 30.659561051177, -91.2723762272 30.659562685144, -91.272378913804 30.659564313513, -91.272381604944 30.659565936272, -91.272384300606 30.659567553414, -91.272387000773 30.659569164928, -91.272389705431 30.659570770804, -91.272392414562 30.659572371035, -91.272395128152 30.65957396561, -91.272397846185 30.65957555452, -91.272400568644 30.659577137755, -91.272403295515 30.659578715308, -91.27240602678 30.659580287168, -91.272408762424 30.659581853326, -91.272411502432 30.659583413773, -91.272414246787 30.659584968501, -91.272416995474 30.659586517499, -91.272419748475 30.659588060759, -91.272422505776 30.659589598273, -91.272425267361 30.65959113003, -91.272428033212 30.659592656023, -91.272430803314 30.659594176242, -91.272433577652 30.659595690678, -91.272436356208 30.659597199323, -91.272439138966 30.659598702168, -91.272441925912 30.659600199204, -91.272444717027 30.659601690422, -91.272447512296 30.659603175814, -91.272450311703 30.659604655371, -91.272453115231 30.659606129084, -91.272455922864 30.659607596946, -91.272458734586 30.659609058946, -91.27246155038 30.659610515077, -91.27246437023 30.659611965331, -91.27246719412 30.659613409698, -91.272470022033 30.659614848171, -91.272472853952 30.659616280741, -91.272475689861 30.6596177074, -91.272478529744 30.659619128139, -91.272481373585 30.65962054295, -91.272484221365 30.659621951825, -91.27248707307 30.659623354756, -91.272489928682 30.659624751735, -91.272492788184 30.659626142752, -91.272495651561 30.659627527802, -91.272498518795 30.659628906874, -91.27250138987 30.659630279962, -91.272504264768 30.659631647057, -91.272507143474 30.659633008151, -91.272510025971 30.659634363236, -91.272512912241 30.659635712305, -91.272515802268 30.65963705535, -91.272518696035 30.659638392362, -91.272521593525 30.659639723334, -91.272524494722 30.659641048259, -91.272527399608 30.659642367128, -91.272530308167 30.659643679934, -91.272533220381 30.65964498667, -91.272536136235 30.659646287326, -91.272539055709 30.659647581897, -91.272541978789 30.659648870375, -91.272544905456 30.659650152751, -91.272547835694 30.659651429019, -91.272550769485 30.659652699171, -91.272553706813 30.6596539632, -91.27255664766 30.659655221098, -91.27255959201 30.659656472858, -91.272562539845 30.659657718473, -91.272565491147 30.659658957935, -91.272568445901 30.659660191238, -91.272571404088 30.659661418374, -91.272574365691 30.659662639336, -91.272577330694 30.659663854116, -91.272580299078 30.659665062708, -91.272583270828 30.659666265105, -91.272586245924 30.6596674613, -91.27258922435 30.659668651286, -91.272592206089 30.659669835055, -91.272595191124 30.659671012601, -91.272598179436 30.659672183918, -91.272601171008 30.659673348998, -91.272604165824 30.659674507834, -91.272607163865 30.65967566042, -91.272610165115 30.659676806749, -91.272613169555 30.659677946814, -91.272616177169 30.659679080609, -91.272619187938 30.659680208127, -91.272622201845 30.659681329362, -91.272625218873 30.659682444307, -91.272628239004 30.659683552955, -91.272631262221 30.659684655301, -91.272634288506 30.659685751337, -91.27263731784 30.659686841057, -91.272640350208 30.659687924455, -91.27264338559 30.659689001525, -91.27264642397 30.659690072261, -91.272649465329 30.659691136655, -91.272652509651 30.659692194702, -91.272655556916 30.659693246397, -91.272658607108 30.659694291731, -91.272661660209 30.659695330701, -91.2726647162 30.659696363299, -91.272667775065 30.659697389519, -91.272670836785 30.659698409356, -91.272673901342 30.659699422804, -91.272676968719 30.659700429856, -91.272680038898 30.659701430507, -91.272683111861 30.659702424751, -91.27268618759 30.659703412582, -91.272689266067 30.659704393995, -91.272692347274 30.659705368983, -91.272695431194 30.659706337542, -91.272698517808 30.659707299665, -91.272701607098 30.659708255347, -91.272704699046 30.659709204582, -91.272707793635 30.659710147365, -91.272710890847 30.65971108369, -91.272713990662 30.659712013552, -91.272717093064 30.659712936945, -91.272720198034 30.659713853865, -91.272723305554 30.659714764305, -91.272726415606 30.65971566826, -91.272729528172 30.659716565726, -91.272732643234 30.659717456696, -91.272735760774 30.659718341166, -91.272738880773 30.659719219131, -91.272742003213 30.659720090585, -91.272745128077 30.659720955523, -91.272748255346 30.659721813941, -91.272751385001 30.659722665833, -91.272754517025 30.659723511195, -91.272757651399 30.659724350021, -91.272760788106 30.659725182306, -91.272763927126 30.659726008047, -91.272767068442 30.659726827237, -91.272770212035 30.659727639872, -91.272773357887 30.659728445948, -91.272776505979 30.659729245459, -91.272779656294 30.659730038402, -91.272782808813 30.659730824771, -91.272785963518 30.659731604562, -91.272789120389 30.65973237777, -91.27279227941 30.659733144391, -91.272795440561 30.659733904421, -91.272798603824 30.659734657854, -91.272801769181 30.659735404687, -91.272804936613 30.659736144915, -91.272808106102 30.659736878534, -91.272811277629 30.65973760554, -91.272814451176 30.659738325928, -91.272817626725 30.659739039695, -91.272820804256 30.659739746835, -91.272823983752 30.659740447345, -91.272827165194 30.659741141221, -91.272830348563 30.659741828459, -91.272833533841 30.659742509055, -91.272836721009 30.659743183005, -91.272839910049 30.659743850305, -91.272843100942 30.65974451095, -91.27284629367 30.659745164938, -91.272849488214 30.659745812264, -91.272852684555 30.659746452925, -91.272855882675 30.659747086917, -91.272859082555 30.659747714236, -91.272862284177 30.659748334878, -91.272865487522 30.659748948841, -91.27286869257 30.659749556119, -91.272871899305 30.659750156711, -91.272875107707 30.659750750612, -91.272878317756 30.659751337819, -91.272881529436 30.659751918328, -91.272884742726 30.659752492136, -91.272887957609 30.65975305924, -91.272891174064 30.659753619637, -91.272894392075 30.659754173323, -91.272897611622 30.659754720294, -91.272900832686 30.659755260549, -91.272904055248 30.659755794083, -91.27290727929 30.659756320893, -91.272910504793 30.659756840977, -91.272913731739 30.659757354331, -91.272916960107 30.659757860953, -91.272920189881 30.65975836084, -91.27292342104 30.659758853987, -91.272926653566 30.659759340394, -91.27292988744 30.659759820056, -91.272933122644 30.659760292972, -91.272936359158 30.659760759138, -91.272939596964 30.659761218551, -91.272942836042 30.659761671209, -91.272946076375 30.65976211711, -91.272949317942 30.65976255625, -91.272952560726 30.659762988628, -91.272955804708 30.65976341424, -91.272959049867 30.659763833084, -91.272962296187 30.659764245158, -91.272965543647 30.659764650459, -91.272968792228 30.659765048985, -91.272972041913 30.659765440734, -91.272975292681 30.659765825703, -91.272978544515 30.659766203891, -91.272981797395 30.659766575294, -91.272985051301 30.659766939911, -91.272988306216 30.659767297739, -91.27299156212 30.659767648777, -91.272994818995 30.659767993023, -91.272998076821 30.659768330474, -91.273001335579 30.659768661129, -91.27300459525 30.659768984985, -91.273007855816 30.659769302041, -91.273011117258 30.659769612294, -91.273014379555 30.659769915744, -91.273017642691 30.659770212388, -91.273020906644 30.659770502225, -91.273024171398 30.659770785253, -91.273027436931 30.65977106147, -91.273030703226 30.659771330874, -91.273033970264 30.659771593464, -91.273037238024 30.659771849239, -91.27304050649 30.659772098198, -91.27304377564 30.659772340337, -91.273047045457 30.659772575657, -91.273050315921 30.659772804156, -91.273053587014 30.659773025832, -91.273056858715 30.659773240684, -91.273060131007 30.659773448711, -91.27306340387 30.659773649912, -91.273066677284 30.659773844286, -91.273069951232 30.659774031831, -91.276723040883 30.660008799077, -91.276724263748 30.660008935165, -91.276725485581 30.660009078023, -91.276726706329 30.660009227647, -91.276727925943 30.660009384029, -91.276729144374 30.660009547164, -91.27673036157 30.660009717044, -91.276731577482 30.660009893663, -91.27673279206 30.660010077014, -91.276734005254 30.660010267088, -91.276735217015 30.660010463879, -91.276736427292 30.660010667377, -91.276737636036 30.660010877575, -91.276738843197 30.660011094465, -91.276740048726 30.660011318036, -91.276741252574 30.66001154828, -91.27674245469 30.660011785188, -91.276743655025 30.66001202875, -91.276744853531 30.660012278956, -91.276746050158 30.660012535795, -91.276747244856 30.660012799257, -91.276748437578 30.660013069331, -91.276749628273 30.660013346006, -91.276750816893 30.660013629271, -91.27675200339 30.660013919114, -91.276753187714 30.660014215523, -91.276754369816 30.660014518486, -91.276755549649 30.660014827991, -91.276756727164 30.660015144025, -91.276757902312 30.660015466575, -91.276759075046 30.660015795627, -91.276760245317 30.660016131168, -91.276761413076 30.660016473185, -91.276762578277 30.660016821663, -91.276763740872 30.660017176588, -91.276764900811 30.660017537946, -91.276766058049 30.660017905721, -91.276767212537 30.660018279899, -91.276768364229 30.660018660463, -91.276769513076 30.6600190474, -91.276770659031 30.660019440692, -91.276771802049 30.660019840323, -91.27677294208 30.660020246278, -91.27677407908 30.660020658539, -91.276775213001 30.66002107709, -91.276776343796 30.660021501913, -91.27677747142 30.66002193299, -91.276778595826 30.660022370305, -91.276779716967 30.660022813839, -91.276780834798 30.660023263575, -91.276781949272 30.660023719492, -91.276783060345 30.660024181574, -91.27678416797 30.6600246498, -91.276785272102 30.660025124153, -91.276786372696 30.660025604611, -91.276787469706 30.660026091156, -91.276788563088 30.660026583767, -91.276789652796 30.660027082424, -91.276790738786 30.660027587108, -91.276791821013 30.660028097796, -91.276792899433 30.660028614468, -91.276793974002 30.660029137104, -91.276795044675 30.66002966568, -91.276796111408 30.660030200177, -91.276797174158 30.660030740571, -91.276798232881 30.660031286841, -91.276799287533 30.660031838964, -91.276800338072 30.660032396917, -91.276801384453 30.660032960678, -91.276802426635 30.660033530224, -91.276803464575 30.66003410553, -91.276804498229 30.660034686574, -91.276805527555 30.660035273332, -91.276806552512 30.660035865779, -91.276807573056 30.660036463891, -91.276808589146 30.660037067644, -91.276809600741 30.660037677013, -91.276810607799 30.660038291973, -91.276811610278 30.660038912498, -91.276812608138 30.660039538563, -91.276813601337 30.660040170143, -91.276814589834 30.660040807211, -91.27681557359 30.660041449742, -91.276816552563 30.660042097708, -91.276817526714 30.660042751084, -91.276818496002 30.660043409843, -91.276819460388 30.660044073956, -91.276820419831 30.660044743398, -91.276821374294 30.660045418141, -91.276822323736 30.660046098157, -91.276823268118 30.660046783418, -91.276824207402 30.660047473895, -91.27682514155 30.660048169562, -91.276826070522 30.660048870388, -91.276826994281 30.660049576346, -91.276827912789 30.660050287406, -91.276828826007 30.66005100354, -91.2768297339 30.660051724717, -91.276830636428 30.660052450908, -91.276831533556 30.660053182083, -91.276832425246 30.660053918213, -91.276833311462 30.660054659266, -91.276834192168 30.660055405214, -91.276835067327 30.660056156024, -91.276835936903 30.660056911667, -91.27683680086 30.66005767211, -91.276837659164 30.660058437324, -91.276838511779 30.660059207276, -91.27683935867 30.660059981935, -91.276840199801 30.66006076127, -91.27684103514 30.660061545247, -91.276841864651 30.660062333835, -91.2768426883 30.660063127002, -91.276843506053 30.660063924715, -91.276844317878 30.660064726941, -91.27684512374 30.660065533648, -91.276845923606 30.660066344801, -91.276846717444 30.660067160369, -91.276847505221 30.660067980317, -91.276848286905 30.660068804611, -91.276849062464 30.660069633219, -91.276849831865 30.660070466105, -91.276850595077 30.660071303237, -91.27685135207 30.660072144578, -91.276852102811 30.660072990096, -91.27685284727 30.660073839754, -91.276853585416 30.660074693519, -91.276854317219 30.660075551354, -91.27685504265 30.660076413226, -91.276855761678 30.660077279098, -91.276856474273 30.660078148936, -91.276857180407 30.660079022702, -91.276857880051 30.660079900362, -91.276858573175 30.660080781879, -91.276859259751 30.660081667218, -91.276859939752 30.660082556341, -91.276860613149 30.660083449213, -91.276861279915 30.660084345797, -91.276861940021 30.660085246055, -91.276862593442 30.660086149951, -91.27686324015 30.660087057448, -91.276863880119 30.660087968509, -91.276864513322 30.660088883096, -91.276865139734 30.660089801171, -91.276865759328 30.660090722697, -91.27686637208 30.660091647637, -91.276866977964 30.660092575951, -91.276867576955 30.660093507603, -91.276868169028 30.660094442553, -91.27686875416 30.660095380763, -91.276869332327 30.660096322196, -91.276869903504 30.660097266812, -91.276870467668 30.660098214572, -91.276871024796 30.660099165437, -91.276871574866 30.660100119369, -91.276872117854 30.660101076329, -91.276872653738 30.660102036276, -91.276873182496 30.660102999172, -91.276873704107 30.660103964977, -91.276874218549 30.660104933652, -91.276874725801 30.660105905156, -91.276875225842 30.66010687945, -91.276875718652 30.660107856494, -91.27687620421 30.660108836247, -91.276876682497 30.66010981867, -91.276877153493 30.660110803722, -91.276877617178 30.660111791363, -91.276878073534 30.660112781552, -91.276878522541 30.660113774248, -91.276878964182 30.660114769411, -91.276879398437 30.660115767, -91.276879825291 30.660116766974, -91.276880244724 30.660117769292, -91.276880656719 30.660118773912, -91.276881061261 30.660119780794, -91.276881458331 30.660120789896, -91.276881847914 30.660121801177, -91.276882229994 30.660122814594, -91.276882604555 30.660123830108, -91.276882971582 30.660124847675, -91.276883331059 30.660125867255, -91.276883682972 30.660126888804, -91.276884027307 30.660127912282, -91.276884364049 30.660128937647, -91.276884693185 30.660129964855, -91.2768850147 30.660130993866, -91.276885328583 30.660132024636, -91.276885634819 30.660133057124, -91.276885933396 30.660134091287, -91.276886224303 30.660135127082, -91.276886507526 30.660136164468, -91.276886783056 30.660137203401, -91.276887050879 30.660138243839, -91.276887310985 30.660139285739, -91.276887563364 30.660140329059, -91.276887808005 30.660141373755, -91.276888044899 30.660142419785, -91.276888274034 30.660143467105, -91.276888495403 30.660144515673, -91.276888708995 30.660145565446, -91.276888914803 30.66014661638, -91.276889112817 30.660147668433, -91.276889303029 30.660148721561, -91.276889485433 30.660149775721, -91.276889660019 30.66015083087, -91.276889826782 30.660151886964, -91.276889985714 30.66015294396, -91.276890136809 30.660154001815, -91.27689028006 30.660155060485, -91.276890415461 30.660156119926, -91.276890543008 30.660157180096, -91.276890662695 30.660158240951, -91.276890774516 30.660159302447, -91.276890878468 30.66016036454, -91.276890974545 30.660161427188, -91.276891062745 30.660162490346, -91.276891143063 30.66016355397, -91.276891215497 30.660164618018, -91.276891280043 30.660165682445, -91.276891336698 30.660166747208, -91.27689138546 30.660167812262, -91.276891426328 30.660168877565, -91.276891459299 30.660169943073, -91.276891484372 30.660171008741, -91.276891501547 30.660172074526, -91.276891510822 30.660173140385)))"
MOUNT PLEASANT BENEVOLENT SOCIETY CEMETERY,152467,PRIVATE,11646,511,"MULTIPOLYGON (((-91.170839113094 30.52652496508, -91.170301366261 30.5265356674, -91.170297235035 30.526353559273, -91.170286008307 30.525858632162, -91.170280838668 30.525009857981, -91.170801729262 30.525010498626, -91.170839113094 30.52652496508)))"
CEMETERY OF BUHLER PLAINS,192188,PUBLIC,23832,632,"MULTIPOLYGON (((-91.194555866087 30.657200285478, -91.194479337561 30.657439551336, -91.194322555243 30.658009037543, -91.19425473093 30.658255398586, -91.193950402934 30.658158809246, -91.192968111864 30.657847039183, -91.193232483035 30.656678232958, -91.193233890243 30.656672167404, -91.194275379499 30.65692999702, -91.194229250224 30.657120238966, -91.194555866087 30.657200285478)))"
CEMETERY,205268,PRIVATE,1201,153,"MULTIPOLYGON (((-91.000885246539 30.589319649097, -91.000521163736 30.589305065146, -91.000524373112 30.589108670213, -91.000556971292 30.589112837034, -91.000821039542 30.589149931019, -91.000897154266 30.58916339834, -91.00101721286 30.589184645044, -91.001003711559 30.589323339421, -91.000885246539 30.589319649097)))"
ROSELAWN MEMORIAL PARK,79615,PUBLIC,374275,2665,"MULTIPOLYGON (((-91.150419126092 30.459178265016, -91.150401365789 30.459178820605, -91.150273699826 30.459182812267, -91.150146030678 30.459186803801, -91.150018367868 30.459190795221, -91.149890698694 30.459194789258, -91.149763029516 30.459198780422, -91.149635363501 30.459202771467, -91.149507697475 30.45920676239, -91.149380028266 30.459210753184, -91.149252362215 30.45921474661, -91.149124699333 30.459218737166, -91.148997030093 30.459222727591, -91.148869364016 30.459226717898, -91.14874169475 30.459230710825, -91.148614028653 30.459234700885, -91.148486362546 30.459238690822, -91.148358693254 30.45924268063, -91.148214630048 30.459247183531, -91.148067281699 30.459251788906, -91.147939615542 30.459255781064, -91.147811949381 30.459259770349, -91.147684283209 30.459263759511, -91.147556617027 30.459267748551, -91.147428950834 30.459271737466, -91.147301284626 30.459275729008, -91.147173618413 30.459279717678, -91.147045949017 30.459283706219, -91.146918282783 30.459287694642, -91.14679061336 30.459291685687, -91.146662947106 30.459295673864, -91.146535280842 30.459299661917, -91.1463023142 30.459307762765, -91.146239642666 30.459309766524, -91.146244857135 30.459267758348, -91.146246046182 30.459212794195, -91.146241148618 30.45916075518, -91.146022656928 30.457726351778, -91.145720038621 30.456310302204, -91.14566561269 30.455589630484, -91.14566534183 30.455583493144, -91.145659005147 30.455519029624, -91.145646379987 30.455455266559, -91.145627551187 30.455392660489, -91.145602654373 30.455331665277, -91.145571872801 30.455272718356, -91.145535427825 30.455216251712, -91.145493578936 30.455162667141, -91.145446633255 30.455112352759, -91.145394929686 30.45506567198, -91.145338835739 30.455022963513, -91.145278760244 30.454984533132, -91.144194620404 30.454392307898, -91.144178645579 30.454383156603, -91.144136889406 30.454354762943, -91.144099336717 30.454322259232, -91.144066529336 30.454286105422, -91.144038932804 30.454246821843, -91.144016939588 30.454204967217, -91.144000865914 30.454161138647, -91.143990939089 30.454115960605, -91.143987303857 30.454070082189, -91.143985254461 30.453868323999, -91.150189316361 30.453669508349, -91.150419126092 30.459178265016)))"
SHAW-MCHUGH MEMORIAL CEMETERY,154537,PRIVATE,6542,331,"MULTIPOLYGON (((-91.137756369083 30.636254501022, -91.137115793694 30.636586967994, -91.1367424626 30.636049306238, -91.137224909686 30.635799283233, -91.137875982346 30.636192417901, -91.137756369083 30.636254501022)))"
GILBERT MEMORIAL CEMETERY,130194,PRIVATE,33556,930,"MULTIPOLYGON (((-91.134207235191 30.465214008325, -91.133737921184 30.465476915985, -91.131883366704 30.466515799206, -91.131610054783 30.466648737124, -91.131548273152 30.466563035466, -91.131543276932 30.466452282528, -91.130729308929 30.465325847828, -91.130768842633 30.465324577059, -91.130879124095 30.46532103772, -91.133723521651 30.465229568567, -91.13381868339 30.465226525527, -91.133913851881 30.465223433277, -91.134207235191 30.465214008325)))"
MOUNT HOLLY CEMETERY,171382,PRIVATE,6951,474,"MULTIPOLYGON (((-91.048383975843 30.661654548773, -91.048386549237 30.661909367177, -91.047073445146 30.661905929567, -91.046574133827 30.661904632664, -91.046566413746 30.661811874949, -91.046552107747 30.661629683716, -91.048383975843 30.661654548773)))"
SAINT GEORGE CHURCH CEMETERY,143508,PUBLIC,18786,583,"MULTIPOLYGON (((-91.072056466357 30.379040827236, -91.071680252868 30.379657563138, -91.071054656067 30.380141486056, -91.070509686876 30.379863740279, -91.070885717758 30.379319180377, -91.070659379971 30.379218490427, -91.071081906777 30.378577791582, -91.072056466357 30.379040827236)))"
ROSE HILL CEMETERY,160308,PRIVATE,2223,203,"MULTIPOLYGON (((-91.060592920907 30.493639929359, -91.060419542634 30.493635911886, -91.060340955306 30.493609355745, -91.060313793986 30.493608726334, -91.060309598976 30.493344975241, -91.060247579706 30.493287663479, -91.060244466844 30.493120818038, -91.060583205403 30.493115892934, -91.060592920907 30.493639929359)))"
LITTLE MISERY CEMETERY,120956,PRIVATE,4815,296,"MULTIPOLYGON (((-91.088524503304 30.430407331517, -91.088656286257 30.43040714788, -91.08910695084 30.430406629692, -91.08917855415 30.43083856612, -91.088193673366 30.430827910887, -91.088249841065 30.430754554875, -91.088388206802 30.43057963563, -91.088524503304 30.430407331517)))"
BETHEL UNITED METHODIST CEMETERY,133072,PRIVATE,23926,714,"MULTIPOLYGON (((-90.996600196774 30.607383939479, -90.996333206727 30.607386098354, -90.996116208081 30.606854643767, -90.995654160598 30.60635223537, -90.995627746517 30.606124076716, -90.995588775425 30.605396266388, -90.995673421201 30.605126124072, -90.996375850204 30.605158831316, -90.996489243994 30.605639358841, -90.996561959563 30.605987396342, -90.996610596145 30.606336903981, -90.996634515449 30.606653944201, -90.996640491602 30.60697196431, -90.996627073256 30.607288667614, -90.996600196774 30.607383939479)))"
CEMETERY,172905,PRIVATE,1344,147,"MULTIPOLYGON (((-90.972971978307 30.693641747665, -90.972933878429 30.693893421975, -90.972580710219 30.693891019752, -90.972610056006 30.693623103919, -90.972971978307 30.693641747665)))"
CEMETERY,171769,PRIVATE,3583,353,"MULTIPOLYGON (((-91.076868982934 30.374815849411, -91.076995210786 30.37485786247, -91.077442370906 30.375006691793, -91.077381854916 30.375106511224, -91.077847322189 30.37531378613, -91.077832566442 30.375338125474, -91.077367099086 30.375130850518, -91.077235949733 30.375347176788, -91.076660588464 30.375155679049, -91.076868982934 30.374815849411)))"
BALLARD CEMETERY,151883,PRIVATE,1503,156,"MULTIPOLYGON (((-91.052208155211 30.689171380361, -91.052033547929 30.688863832826, -91.052322205698 30.68876205252, -91.052489022637 30.689057991591, -91.052208155211 30.689171380361)))"
DEVALL CEMETERY,152017,PRIVATE,2713,220,"MULTIPOLYGON (((-91.151248584738 30.54827571522, -91.151169216676 30.548278182277, -91.150915247117 30.548286072704, -91.150893798835 30.54772093961, -91.151069756648 30.547715042434, -91.151226717168 30.547710600093, -91.151240177185 30.548058442086, -91.151248584738 30.54827571522)))"
COLLIER FAMILY CEMETERY,186201,PRIVATE,2158,186,"MULTIPOLYGON (((-91.272738864389 30.661592965971, -91.272755669199 30.661953259477, -91.272345259448 30.661969701708, -91.272324303892 30.66160504628, -91.272738864389 30.661592965971)))"
CEMETERY,203019,PRIVATE,842,115,"MULTIPOLYGON (((-91.024865527693 30.538364398706, -91.024900928546 30.538362410971, -91.024960232924 30.538352936814, -91.02500773476 30.538338591097, -91.025109870074 30.538375225749, -91.025028437561 30.5386028654, -91.02476651988 30.538516171596, -91.024828719685 30.538366380203, -91.024865527693 30.538364398706)))"
